number,Filename 0,Agent 0 pos x,Agent 0 pos y,Agent 0 pos z,Landmark 0 pos x,Landmark 0 pos y,Landmark 0 pos z,Distance 0,Filename 1,Agent 1 pos x,Agent 1 pos y,Agent 1 pos z,Landmark 1 pos x,Landmark 1 pos y,Landmark 1 pos z,Distance 1,Filename 2,Agent 2 pos x,Agent 2 pos y,Agent 2 pos z,Landmark 2 pos x,Landmark 2 pos y,Landmark 2 pos z,Distance 2,Filename 3,Agent 3 pos x,Agent 3 pos y,Agent 3 pos z,Landmark 3 pos x,Landmark 3 pos y,Landmark 3 pos z,Distance 3,Filename 4,Agent 4 pos x,Agent 4 pos y,Agent 4 pos z,Landmark 4 pos x,Landmark 4 pos y,Landmark 4 pos z,Distance 4,Filename 5,Agent 5 pos x,Agent 5 pos y,Agent 5 pos z,Landmark 5 pos x,Landmark 5 pos y,Landmark 5 pos z,Distance 5
1,ear1-P0318_1,0,0,0,51.0,33.0,22.0,64.60650122085238,ear1-P0318_1,0,0,72,50.0,33.0,20.0,79.328431221095,ear1-P0318_1,0,72,0,49.0,33.0,15.0,64.39720490828775,ear1-P0318_1,0,72,9,48.0,33.0,24.0,63.63961030678928,ear1-P0318_1,0,0,0,48.0,33.0,31.0,65.98484674529449,ear1-P0318_1,0,0,54,44.0,42.0,38.0,62.89674077406555
2,ear1-P1051_2,0,0,9,52.0,34.0,19.0,62.928530890209096,ear1-P1051_2,0,1,45,48.0,34.0,15.0,65.52098900352466,ear1-P1051_2,0,79,9,47.0,32.0,18.0,67.07458535093602,ear1-P1051_2,45,79,36,47.0,33.0,26.0,47.11687595755899,ear1-P1051_2,1,0,0,46.0,34.0,35.0,66.37770710110436,ear1-P1051_2,0,3,79,41.0,42.0,38.0,69.87846592477543
3,ear1-P1133_1,0,0,0,49.0,32.0,25.0,63.63961030678928,ear1-P1133_1,0,0,54,47.0,32.0,22.0,65.24568951279464,ear1-P1133_1,0,72,0,46.0,32.0,15.0,62.77738446287803,ear1-P1133_1,63,72,45,46.0,32.0,22.0,49.17316341257699,ear1-P1133_1,9,0,9,46.0,32.0,31.0,53.637673327615545,ear1-P1133_1,0,9,54,43.0,38.0,37.0,54.58021619598075
4,ear1-P1170_1,0,0,9,49.0,29.0,23.0,58.63446085707619,ear1-P1170_1,0,0,45,46.0,29.0,19.0,60.27437266367855,ear1-P1170_1,0,72,0,44.0,31.0,17.0,62.49799996799898,ear1-P1170_1,54,72,54,43.0,30.0,26.0,51.66236541235796,ear1-P1170_1,0,0,0,42.0,30.0,33.0,61.26173356998641,ear1-P1170_1,0,0,63,39.0,38.0,38.0,59.91660871578097
5,ear2-P0060_1,7,0,75,41.0,26.0,32.0,60.67124524847005,ear2-P0060_1,19,6,18,39.0,26.0,29.0,30.347981810987037,ear2-P0060_1,33,29,32,37.0,28.0,25.0,8.12403840463596,ear2-P0060_1,45,79,64,37.0,27.0,32.0,61.57921727336261,ear2-P0060_1,40,25,2,36.0,28.0,42.0,40.311288741492746,ear2-P0060_1,35,34,49,34.0,36.0,45.0,4.58257569495584
6,ear2-P0060_2,13,1,77,43.0,27.0,31.0,60.76183012385325,ear2-P0060_2,15,10,79,39.0,27.0,28.0,58.872744118140105,ear2-P0060_2,35,26,27,37.0,27.0,26.0,2.449489742783178,ear2-P0060_2,45,79,52,37.0,27.0,34.0,55.60575509783138,ear2-P0060_2,1,0,0,35.0,28.0,42.0,60.860496218811754,ear2-P0060_2,34,34,48,34.0,35.0,46.0,2.23606797749979
7,ear2-P0317_1,1,0,45,48.0,30.0,30.0,57.7408001330082,ear2-P0317_1,47,21,19,46.0,30.0,28.0,12.767145334803704,ear2-P0317_1,0,11,1,45.0,30.0,21.0,52.78257288158659,ear2-P0317_1,50,79,54,45.0,30.0,25.0,57.15767664977295,ear2-P0317_1,59,18,0,44.0,32.0,36.0,41.43669871020132,ear2-P0317_1,44,37,50,40.0,40.0,42.0,9.433981132056603
8,ear2-P0407_1,16,0,58,40.0,26.0,28.0,46.389654018972806,ear2-P0407_1,40,25,21,38.0,26.0,26.0,5.477225575051661,ear2-P0407_1,0,79,17,36.0,27.0,22.0,63.4428877022476,ear2-P0407_1,45,79,45,36.0,26.0,29.0,56.089214649520635,ear2-P0407_1,1,0,0,36.0,26.0,34.0,55.29014378711634,ear2-P0407_1,39,36,43,33.0,36.0,41.0,6.324555320336759
9,ear2-P1051_1,1,0,66,44.0,30.0,32.0,62.489999199871974,ear2-P1051_1,41,23,18,42.0,29.0,32.0,15.264337522473747,ear2-P1051_1,17,59,16,40.0,28.0,21.0,38.92300091205713,ear2-P1051_1,45,79,45,41.0,30.0,30.0,51.40038910358559,ear2-P1051_1,1,0,0,39.0,30.0,39.0,62.16912416947821,ear2-P1051_1,40,40,44,33.0,39.0,41.0,7.681145747868608
10,ear2-P1051_2,28,0,42,44.0,29.0,33.0,34.322004603461025,ear2-P1051_2,36,21,16,41.0,29.0,33.0,19.44222209522358,ear2-P1051_2,0,79,0,40.0,28.0,21.0,68.13222438758329,ear2-P1051_2,45,79,45,40.0,29.0,29.0,52.73518749374084,ear2-P1051_2,1,0,0,39.0,29.0,39.0,61.69278726074872,ear2-P1051_2,42,39,44,34.0,39.0,41.0,8.54400374531753
