number,Filename 0,Agent 0 pos x,Agent 0 pos y,Agent 0 pos z,Landmark 0 pos x,Landmark 0 pos y,Landmark 0 pos z,Distance 0,Filename 1,Agent 1 pos x,Agent 1 pos y,Agent 1 pos z,Landmark 1 pos x,Landmark 1 pos y,Landmark 1 pos z,Distance 1,Filename 2,Agent 2 pos x,Agent 2 pos y,Agent 2 pos z,Landmark 2 pos x,Landmark 2 pos y,Landmark 2 pos z,Distance 2,Filename 3,Agent 3 pos x,Agent 3 pos y,Agent 3 pos z,Landmark 3 pos x,Landmark 3 pos y,Landmark 3 pos z,Distance 3,Filename 4,Agent 4 pos x,Agent 4 pos y,Agent 4 pos z,Landmark 4 pos x,Landmark 4 pos y,Landmark 4 pos z,Distance 4,Filename 5,Agent 5 pos x,Agent 5 pos y,Agent 5 pos z,Landmark 5 pos x,Landmark 5 pos y,Landmark 5 pos z,Distance 5,Filename 6,Agent 6 pos x,Agent 6 pos y,Agent 6 pos z,Landmark 6 pos x,Landmark 6 pos y,Landmark 6 pos z,Distance 6,Filename 7,Agent 7 pos x,Agent 7 pos y,Agent 7 pos z,Landmark 7 pos x,Landmark 7 pos y,Landmark 7 pos z,Distance 7,Filename 8,Agent 8 pos x,Agent 8 pos y,Agent 8 pos z,Landmark 8 pos x,Landmark 8 pos y,Landmark 8 pos z,Distance 8,Filename 9,Agent 9 pos x,Agent 9 pos y,Agent 9 pos z,Landmark 9 pos x,Landmark 9 pos y,Landmark 9 pos z,Distance 9,Filename 10,Agent 10 pos x,Agent 10 pos y,Agent 10 pos z,Landmark 10 pos x,Landmark 10 pos y,Landmark 10 pos z,Distance 10,Filename 11,Agent 11 pos x,Agent 11 pos y,Agent 11 pos z,Landmark 11 pos x,Landmark 11 pos y,Landmark 11 pos z,Distance 11
1,ear1-P1133_1,19,72,35,28.0,76.0,39.0,10.630147629445906,ear1-P1133_1,19,72,37,28.0,76.0,39.0,10.049877542727295,ear1-P1133_1,23,72,33,28.0,72.0,35.0,5.385165913964989,ear1-P1133_1,26,72,38,28.0,72.0,35.0,3.6055515399656763,ear1-P1133_1,28,71,28,28.0,71.0,26.0,2.0,ear1-P1133_1,28,72,32,28.0,71.0,26.0,6.082762530298219,ear1-P1133_1,26,72,39,28.0,71.0,37.0,3.00000031789146,ear1-P1133_1,27,72,39,28.0,71.0,37.0,2.449489840117165,ear1-P1133_1,27,72,45,27.0,72.0,47.0,2.0,ear1-P1133_1,27,73,46,27.0,72.0,47.0,1.4142135623730951,ear1-P1133_1,29,78,50,29.0,76.0,51.0,2.23606797749979,ear1-P1133_1,29,78,50,29.0,76.0,51.0,2.23606797749979
2,ear2-P0060_1,44,73,41,45.0,72.0,42.0,1.7320519087778241,ear2-P0060_1,44,74,42,45.0,72.0,42.0,2.2360688304926803,ear2-P0060_1,47,73,39,47.0,72.0,41.0,2.23606797749979,ear2-P0060_1,46,73,42,47.0,72.0,41.0,1.7320519087778241,ear2-P0060_1,47,74,32,48.0,72.0,35.0,3.741657896534757,ear2-P0060_1,47,74,33,48.0,72.0,35.0,3.0000006357834166,ear2-P0060_1,47,72,43,48.0,73.0,42.0,1.7320519087778241,ear2-P0060_1,48,73,43,48.0,73.0,42.0,1.0,ear2-P0060_1,48,72,50,48.0,73.0,48.0,2.23606797749979,ear2-P0060_1,47,73,50,48.0,73.0,48.0,2.2360688304926803,ear2-P0060_1,52,82,53,52.0,82.0,53.0,0.0,ear2-P0060_1,50,82,53,52.0,82.0,53.0,2.0000038146972656
3,ear2-P0060_2,44,73,40,44.0,73.0,45.0,5.0,ear2-P0060_2,45,74,42,44.0,73.0,45.0,3.3166252576141204,ear2-P0060_2,45,73,40,47.0,73.0,43.0,3.6055529947257354,ear2-P0060_2,47,73,42,47.0,73.0,43.0,1.0,ear2-P0060_2,48,74,33,48.0,73.0,36.0,3.1622776601683795,ear2-P0060_2,47,74,35,48.0,73.0,36.0,1.7320517023010398,ear2-P0060_2,47,72,44,48.0,72.0,43.0,1.4142146581915809,ear2-P0060_2,47,72,43,48.0,72.0,43.0,1.0000015497207642,ear2-P0060_2,48,73,51,47.0,73.0,50.0,1.4142146581915809,ear2-P0060_2,47,73,50,47.0,73.0,50.0,0.0,ear2-P0060_2,51,82,54,50.0,80.0,56.0,3.000000516573944,ear2-P0060_2,51,82,54,50.0,80.0,56.0,3.000000516573944
4,ear2-P0407_1,35,68,37,39.0,68.0,37.0,4.000000953674316,ear2-P0407_1,35,68,39,39.0,68.0,37.0,4.4721368079918395,ear2-P0407_1,37,68,35,40.0,68.0,37.0,3.605551870592758,ear2-P0407_1,39,69,36,40.0,68.0,37.0,1.732050945219919,ear2-P0407_1,42,67,28,41.0,68.0,30.0,2.449489840117165,ear2-P0407_1,40,67,30,41.0,68.0,30.0,1.4142137309604992,ear2-P0407_1,41,69,37,41.0,68.0,38.0,1.4142135623730951,ear2-P0407_1,40,69,37,41.0,68.0,38.0,1.732050945219919,ear2-P0407_1,41,69,47,41.0,68.0,43.0,4.123105625617661,ear2-P0407_1,41,69,48,41.0,68.0,43.0,5.0990195135927845,ear2-P0407_1,44,76,52,44.0,77.0,51.0,1.4142135623730951,ear2-P0407_1,45,77,51,44.0,77.0,51.0,1.000000238418579
5,ear2-P1051_1,37,74,34,39.0,73.0,37.0,3.741659425816788,ear2-P1051_1,37,75,33,39.0,73.0,37.0,4.898981042911231,ear2-P1051_1,38,74,33,41.0,73.0,35.0,3.741661974618783,ear2-P1051_1,41,75,34,41.0,73.0,35.0,2.23606797749979,ear2-P1051_1,44,72,27,42.0,71.0,28.0,2.449492857471443,ear2-P1051_1,43,72,28,42.0,71.0,28.0,1.4142149110728905,ear2-P1051_1,43,74,36,42.0,73.0,37.0,1.7320519087778241,ear2-P1051_1,43,74,35,42.0,73.0,37.0,2.4494905214556155,ear2-P1051_1,42,75,45,42.0,73.0,45.0,2.0,ear2-P1051_1,42,74,44,42.0,73.0,45.0,1.4142135623730951,ear2-P1051_1,45,81,51,48.0,82.0,49.0,3.741661974618783,ear2-P1051_1,45,81,51,48.0,82.0,49.0,3.741661974618783
6,ear2-P1051_2,37,74,33,40.0,73.0,37.0,5.099009519146439,ear2-P1051_2,36,75,33,40.0,73.0,37.0,5.999984900180407,ear2-P1051_2,37,75,31,41.0,73.0,36.0,6.7081904268135455,ear2-P1051_2,39,74,33,41.0,73.0,36.0,3.7416513333818564,ear2-P1051_2,44,72,27,42.0,70.0,26.0,2.9999924500902035,ear2-P1051_2,43,72,28,42.0,70.0,26.0,2.9999981125243322,ear2-P1051_2,42,75,35,42.0,73.0,35.0,2.0,ear2-P1051_2,42,74,34,42.0,73.0,35.0,1.4142135623730951,ear2-P1051_2,41,74,45,43.0,74.0,44.0,2.236057848222676,ear2-P1051_2,41,74,44,43.0,74.0,44.0,1.9999886751174927,ear2-P1051_2,45,81,50,48.0,81.0,50.0,2.999983012676239,ear2-P1051_2,44,81,51,48.0,81.0,50.0,4.123083652121661
7,ear2-P1065_3,34,71,61,37.0,72.0,60.0,3.3166247903554,ear2-P1065_3,34,72,62,37.0,72.0,60.0,3.605551275463989,ear2-P1065_3,37,73,60,39.0,72.0,58.0,3.0,ear2-P1065_3,38,73,62,39.0,72.0,58.0,4.242640687119285,ear2-P1065_3,41,71,51,39.0,73.0,51.0,2.8284271247461903,ear2-P1065_3,40,72,53,39.0,73.0,51.0,2.449489742783178,ear2-P1065_3,38,72,62,40.0,73.0,60.0,3.0,ear2-P1065_3,39,72,61,40.0,73.0,60.0,1.7320508075688772,ear2-P1065_3,40,72,69,40.0,74.0,67.0,2.8284271247461903,ear2-P1065_3,39,72,68,40.0,74.0,67.0,2.449489742783178,ear2-P1065_3,43,82,73,44.0,81.0,72.0,1.7320508075688772,ear2-P1065_3,43,82,73,44.0,81.0,72.0,1.7320508075688772
8,ear2-P1094_1,44,78,38,43.0,80.0,42.0,4.582576475365159,ear2-P1094_1,43,79,39,43.0,80.0,42.0,3.1622776601683795,ear2-P1094_1,46,79,37,46.0,80.0,39.0,2.23606797749979,ear2-P1094_1,47,79,38,46.0,80.0,39.0,1.732052872336801,ear2-P1094_1,49,79,30,47.0,78.0,32.0,3.000004768376319,ear2-P1094_1,47,77,30,47.0,78.0,32.0,2.23606797749979,ear2-P1094_1,48,78,38,47.0,79.0,40.0,2.4494912027950138,ear2-P1094_1,48,78,38,47.0,79.0,40.0,2.4494912027950138,ear2-P1094_1,47,80,47,47.0,80.0,48.0,1.0,ear2-P1094_1,47,80,47,47.0,80.0,48.0,1.0,ear2-P1094_1,52,88,53,51.0,89.0,52.0,1.732052872336801,ear2-P1094_1,51,89,52,51.0,89.0,52.0,0.0
9,011_1_R,28,44,38,30.0,50.0,38.0,6.324555320336759,011_1_R,27,44,39,30.0,50.0,38.0,6.782329983125268,011_1_R,28,44,37,31.0,46.0,39.0,4.123105625617661,011_1_R,30,44,37,31.0,46.0,39.0,3.0,011_1_R,31,43,29,30.0,43.0,30.0,1.4142135623730951,011_1_R,30,42,29,30.0,43.0,30.0,1.4142135623730951,011_1_R,30,43,37,30.0,43.0,35.0,2.0,011_1_R,30,43,36,30.0,43.0,35.0,1.0,011_1_R,31,44,42,31.0,43.0,41.0,1.4142135623730951,011_1_R,29,44,42,31.0,43.0,41.0,2.449489742783178,011_1_R,35,51,48,34.0,51.0,47.0,1.4142135623730951,011_1_R,35,53,48,34.0,51.0,47.0,2.449489742783178
10,020_1_L,30,69,38,29.0,69.0,39.0,1.4142135623730951,020_1_L,29,70,37,29.0,69.0,39.0,2.23606797749979,020_1_L,31,69,37,30.0,69.0,36.0,1.4142135623730951,020_1_L,31,70,38,30.0,69.0,36.0,2.449489742783178,020_1_L,32,71,29,32.0,70.0,30.0,1.4142135623730951,020_1_L,32,69,30,32.0,70.0,30.0,1.0,020_1_L,32,69,38,31.0,69.0,37.0,1.4142135623730951,020_1_L,32,70,38,31.0,69.0,37.0,1.7320508075688772,020_1_L,32,70,43,32.0,68.0,44.0,2.23606797749979,020_1_L,31,70,42,32.0,68.0,44.0,3.0,020_1_L,36,75,48,36.0,76.0,50.0,2.23606797749979,020_1_L,34,76,48,36.0,76.0,50.0,2.8284271247461903
