number,Filename 0,Agent 0 pos x,Agent 0 pos y,Agent 0 pos z,Landmark 0 pos x,Landmark 0 pos y,Landmark 0 pos z,Distance 0,Filename 1,Agent 1 pos x,Agent 1 pos y,Agent 1 pos z,Landmark 1 pos x,Landmark 1 pos y,Landmark 1 pos z,Distance 1,Filename 2,Agent 2 pos x,Agent 2 pos y,Agent 2 pos z,Landmark 2 pos x,Landmark 2 pos y,Landmark 2 pos z,Distance 2,Filename 3,Agent 3 pos x,Agent 3 pos y,Agent 3 pos z,Landmark 3 pos x,Landmark 3 pos y,Landmark 3 pos z,Distance 3,Filename 4,Agent 4 pos x,Agent 4 pos y,Agent 4 pos z,Landmark 4 pos x,Landmark 4 pos y,Landmark 4 pos z,Distance 4,Filename 5,Agent 5 pos x,Agent 5 pos y,Agent 5 pos z,Landmark 5 pos x,Landmark 5 pos y,Landmark 5 pos z,Distance 5
1,ear1-P1133_1,24,70,37,28.0,76.0,39.0,7.483315283308291,ear1-P1133_1,25,70,35,28.0,72.0,35.0,3.605551870592758,ear1-P1133_1,26,71,29,28.0,71.0,26.0,3.6055515399656763,ear1-P1133_1,27,71,36,28.0,71.0,37.0,1.4142137309604992,ear1-P1133_1,25,70,43,27.0,72.0,47.0,4.89897968023433,ear1-P1133_1,30,79,48,29.0,76.0,51.0,4.358898998237653
2,ear2-P0060_1,44,73,43,45.0,72.0,42.0,1.7320519087778241,ear2-P0060_1,46,73,40,47.0,72.0,41.0,1.7320519087778241,ear2-P0060_1,49,74,35,48.0,72.0,35.0,2.2360688304926803,ear2-P0060_1,48,74,43,48.0,73.0,42.0,1.4142135623730951,ear2-P0060_1,49,73,49,48.0,73.0,48.0,1.4142149110728905,ear2-P0060_1,52,83,53,52.0,82.0,53.0,1.0
3,ear2-P0060_2,44,73,44,44.0,73.0,45.0,1.0,ear2-P0060_2,46,73,42,47.0,73.0,43.0,1.4142146581915809,ear2-P0060_2,48,74,37,48.0,73.0,36.0,1.4142135623730951,ear2-P0060_2,48,73,44,48.0,72.0,43.0,1.4142135623730951,ear2-P0060_2,48,74,51,47.0,73.0,50.0,1.7320517023010398,ear2-P0060_2,51,83,54,50.0,80.0,56.0,3.7416578009545356
4,ear2-P0407_1,36,68,40,39.0,68.0,37.0,4.242641192881497,ear2-P0407_1,40,68,35,40.0,68.0,37.0,2.0,ear2-P0407_1,40,68,29,41.0,68.0,30.0,1.4142137309604992,ear2-P0407_1,41,68,38,41.0,68.0,38.0,0.0,ear2-P0407_1,40,68,45,41.0,68.0,43.0,2.23606808412383,ear2-P0407_1,44,76,51,44.0,77.0,51.0,1.0
5,ear2-P1051_1,39,73,34,39.0,73.0,37.0,3.0,ear2-P1051_1,41,74,33,41.0,73.0,35.0,2.23606797749979,ear2-P1051_1,43,72,28,42.0,71.0,28.0,1.4142149110728905,ear2-P1051_1,43,73,36,42.0,73.0,37.0,1.4142149110728905,ear2-P1051_1,42,74,47,42.0,73.0,45.0,2.23606797749979,ear2-P1051_1,47,82,51,48.0,82.0,49.0,2.2360688304926803
6,ear2-P1051_2,38,73,33,40.0,73.0,37.0,4.472130890369626,ear2-P1051_2,40,72,32,41.0,73.0,36.0,4.242639352472651,ear2-P1051_2,43,72,27,42.0,70.0,26.0,2.4494874311066703,ear2-P1051_2,43,72,35,42.0,73.0,35.0,1.4142095584281547,ear2-P1051_2,42,74,45,43.0,74.0,44.0,1.4142095584281547,ear2-P1051_2,46,82,50,48.0,81.0,50.0,2.236057848222676
7,ear2-P1065_3,35,72,61,37.0,72.0,60.0,2.23606797749979,ear2-P1065_3,37,71,61,39.0,72.0,58.0,3.7416573867739413,ear2-P1065_3,39,74,53,39.0,73.0,51.0,2.23606797749979,ear2-P1065_3,40,73,61,40.0,73.0,60.0,1.0,ear2-P1065_3,39,72,66,40.0,74.0,67.0,2.449489742783178,ear2-P1065_3,43,81,72,44.0,81.0,72.0,1.0
8,ear2-P1094_1,43,79,40,43.0,80.0,42.0,2.23606797749979,ear2-P1094_1,45,81,38,46.0,80.0,39.0,1.732052872336801,ear2-P1094_1,46,79,32,47.0,78.0,32.0,1.4142160911862667,ear2-P1094_1,47,79,39,47.0,79.0,40.0,1.0,ear2-P1094_1,47,80,46,47.0,80.0,48.0,2.0,ear2-P1094_1,52,88,49,51.0,89.0,52.0,3.316625868645748
9,011_1_R,26,43,40,30.0,50.0,38.0,8.306623862918075,011_1_R,29,43,38,31.0,46.0,39.0,3.7416573867739413,011_1_R,29,44,29,30.0,43.0,30.0,1.7320508075688772,011_1_R,31,43,37,30.0,43.0,35.0,2.23606797749979,011_1_R,31,43,42,31.0,43.0,41.0,1.0,011_1_R,33,52,47,34.0,51.0,47.0,1.4142135623730951
10,020_1_L,30,70,34,29.0,69.0,39.0,5.196152422706632,020_1_L,29,69,33,30.0,69.0,36.0,3.1622776601683795,020_1_L,31,71,28,32.0,70.0,30.0,2.449489742783178,020_1_L,30,71,35,31.0,69.0,37.0,3.0,020_1_L,32,69,41,32.0,68.0,44.0,3.1622776601683795,020_1_L,34,74,48,36.0,76.0,50.0,3.4641016151377544
