number,Filename 0,Agent 0 pos x,Agent 0 pos y,Agent 0 pos z,Landmark 0 pos x,Landmark 0 pos y,Landmark 0 pos z,Distance 0,Filename 1,Agent 1 pos x,Agent 1 pos y,Agent 1 pos z,Landmark 1 pos x,Landmark 1 pos y,Landmark 1 pos z,Distance 1,Filename 2,Agent 2 pos x,Agent 2 pos y,Agent 2 pos z,Landmark 2 pos x,Landmark 2 pos y,Landmark 2 pos z,Distance 2,Filename 3,Agent 3 pos x,Agent 3 pos y,Agent 3 pos z,Landmark 3 pos x,Landmark 3 pos y,Landmark 3 pos z,Distance 3,Filename 4,Agent 4 pos x,Agent 4 pos y,Agent 4 pos z,Landmark 4 pos x,Landmark 4 pos y,Landmark 4 pos z,Distance 4,Filename 5,Agent 5 pos x,Agent 5 pos y,Agent 5 pos z,Landmark 5 pos x,Landmark 5 pos y,Landmark 5 pos z,Distance 5
1,ear1-P1133_1,23,72,35,28.0,76.0,39.0,7.5498352247536085,ear1-P1133_1,27,73,35,28.0,72.0,35.0,1.4142137309604992,ear1-P1133_1,28,75,33,28.0,71.0,26.0,8.06225774829855,ear1-P1133_1,58,1,27,28.0,71.0,37.0,76.81146027223733,ear1-P1133_1,26,73,46,27.0,72.0,47.0,1.732050945219919,ear1-P1133_1,34,91,109,29.0,76.0,51.0,60.11655355990503
2,ear2-P0060_1,45,74,41,45.0,72.0,42.0,2.23606797749979,ear2-P0060_1,48,76,39,47.0,72.0,41.0,4.582576111173813,ear2-P0060_1,50,75,35,48.0,72.0,35.0,3.605553391478708,ear2-P0060_1,48,73,41,48.0,73.0,42.0,1.0,ear2-P0060_1,48,74,50,48.0,73.0,48.0,2.23606797749979,ear2-P0060_1,52,81,55,52.0,82.0,53.0,2.23606797749979
3,ear2-P0060_2,45,75,42,44.0,73.0,45.0,3.7416578009545356,ear2-P0060_2,48,76,39,47.0,73.0,43.0,5.099019817518258,ear2-P0060_2,48,75,36,48.0,73.0,36.0,2.0,ear2-P0060_2,48,72,41,48.0,72.0,43.0,2.0,ear2-P0060_2,48,74,51,47.0,73.0,50.0,1.7320517023010398,ear2-P0060_2,51,81,56,50.0,80.0,56.0,1.4142146581915809
4,ear2-P0407_1,36,68,37,39.0,68.0,37.0,3.0000007152557373,ear2-P0407_1,38,69,37,40.0,68.0,37.0,2.2360684039959198,ear2-P0407_1,41,70,30,41.0,68.0,30.0,2.0,ear2-P0407_1,38,68,37,41.0,68.0,38.0,3.162278338719559,ear2-P0407_1,38,68,46,41.0,68.0,43.0,4.242641192881497,ear2-P0407_1,44,76,51,44.0,77.0,51.0,1.0
5,ear2-P1051_1,38,74,36,39.0,73.0,37.0,1.7320519087778241,ear2-P1051_1,40,75,32,41.0,73.0,35.0,3.741657896534757,ear2-P1051_1,43,75,29,42.0,71.0,28.0,4.242641136686074,ear2-P1051_1,40,74,36,42.0,73.0,37.0,2.449492857471443,ear2-P1051_1,42,74,44,42.0,73.0,45.0,1.4142135623730951,ear2-P1051_1,51,100,109,48.0,82.0,49.0,62.71363515482345
6,ear2-P1051_2,38,74,35,40.0,73.0,37.0,2.9999924500902035,ear2-P1051_2,40,74,33,41.0,73.0,36.0,3.3166230830695183,ear2-P1051_2,43,75,29,42.0,70.0,26.0,5.916078825974985,ear2-P1051_2,40,73,36,42.0,73.0,35.0,2.236057848222676,ear2-P1051_2,40,74,44,43.0,74.0,44.0,2.999983012676239,ear2-P1051_2,44,81,51,48.0,81.0,50.0,4.123083652121661
7,ear2-P1065_3,30,55,22,37.0,72.0,60.0,42.21374183841087,ear2-P1065_3,38,73,61,39.0,72.0,58.0,3.3166247903554,ear2-P1065_3,41,73,53,39.0,73.0,51.0,2.8284271247461903,ear2-P1065_3,21,64,23,40.0,73.0,60.0,42.555845661906424,ear2-P1065_3,39,73,70,40.0,74.0,67.0,3.3166247903554,ear2-P1065_3,44,81,77,44.0,81.0,72.0,5.0
8,ear2-P1094_1,44,79,39,43.0,80.0,42.0,3.316625868645748,ear2-P1094_1,45,80,39,46.0,80.0,39.0,1.0000035762786865,ear2-P1094_1,48,81,32,47.0,78.0,32.0,3.162278791088819,ear2-P1094_1,48,79,39,47.0,79.0,40.0,1.4142160911862667,ear2-P1094_1,49,82,50,47.0,80.0,48.0,3.464105744673602,ear2-P1094_1,51,89,54,51.0,89.0,52.0,2.0
9,011_1_R,25,44,37,30.0,50.0,38.0,7.874007874011811,011_1_R,28,45,38,31.0,46.0,39.0,3.3166247903554,011_1_R,31,45,31,30.0,43.0,30.0,2.449489742783178,011_1_R,29,43,37,30.0,43.0,35.0,2.23606797749979,011_1_R,29,44,44,31.0,43.0,41.0,3.7416573867739413,011_1_R,33,50,49,34.0,51.0,47.0,2.449489742783178
10,020_1_L,29,70,39,29.0,69.0,39.0,1.0,020_1_L,31,71,36,30.0,69.0,36.0,2.23606797749979,020_1_L,32,73,32,32.0,70.0,30.0,3.605551275463989,020_1_L,31,70,36,31.0,69.0,37.0,1.4142135623730951,020_1_L,31,70,45,32.0,68.0,44.0,2.449489742783178,020_1_L,34,76,49,36.0,76.0,50.0,2.23606797749979
